,station,E,N,Z
AC07,AC07,691.380066851,759.690511448,678.215292578
ACH1,ACH1,822.853830317,771.047216113,664.054674027
ACH2,ACH2,662.926044403,640.231283458,617.663928197
ACUE,ACUE,813.037016529,821.474105683,753.87385677
AGYE,AGYE,342.991160012,589.913171217,587.164908969
AMIL,AMIL,665.720431612,626.537035052,633.739703249
APLA,APLA,686.611008891,688.253037274,666.140128076
ARNL,ARNL,754.205567775,763.8325417,705.42366184
COHC,COHC,665.516741881,718.785388187,686.479254743
GYC2,GYC2,677.079556717,607.521133557,617.061631816
GYE1,GYE1,735.938535062,808.16865513,704.831831651
GYKA,GYKA,687.552941653,722.551477128,744.731928695
GYPL,GYPL,592.391344457,613.419379635,621.467676021
ISPG,ISPG,611.17393725,609.814541095,628.390235409
SALI,SALI,1000.17449817,998.007585913,903.684968711
