station,E,N,Z
AC07,2332.61183216,2321.94928765,2228.47610462
ACH1,4198.0980833,4643.03734795,2895.02406094
ACH2,2149.0221699,2366.68487558,2167.01510954
ACUE,-29650.1365508,-35220.6411897,26057.7420181
AGYE,1295.55509063,2002.06313494,2296.69146425
AMIL,4823.42238961,5851.5247125,3025.91054946
APLA,27074.5230164,7360.52276807,10223.2537625
ARNL,2610.54458907,2736.31736226,2492.5802632
COHC,2663.01356828,2538.64192965,2425.94378822
GYC2,2825.04888214,2385.62753811,2310.68799399
GYE1,3721.23525028,3940.90809879,2201.77596984
GYKA,3369.6517292,3630.62878409,2296.53596869
GYPL,1980.81825361,2014.92897058,2057.954799
ISPG,2662.6341814,2439.56332523,2212.41994324
SALI,7624.55168583,8035.90953979,5062.55714043
